respondent_id,comment_text,hearing_date,ward,role,language,housing_tenure,school,validation_theme
SYN-0001,"After attending multiple hearings, I am increasingly concerned. Class sizes are too large and students need more classroom materials. I live at 101 Public Square Road, Apt 2B.",2026-09-12,6,Parent,Polish,Renter,Community School A,classroom_resources
SYN-0002,Please explain how the safety budget will be used at each school.,2026-09-02,8,Resident,English,Renter,Community School C,school_safety
SYN-0003,Students are waiting too long for mental-health support.,2026-09-07,10,Parent,English,Renter,Community School A,mental_health
SYN-0004,Will the district publish route performance and missed-pickup data?,2026-09-02,10,Resident,English,Renter,Community School B,transportation
SYN-0005,Families need interpretation and disability accommodations at every meeting.,2026-09-02,10,Parent,English,Owner,Community School C,accessibility
SYN-0006,"After attending multiple hearings, I am increasingly concerned. Regular multilingual updates would make this process easier to follow. Contact Taylor Parker at sample.person6@example.org or 312-555-1006.",2026-09-12,20,Student,English,Renter,Community School D,communication
SYN-0007,"Please protect funding for teachers, books, and after-school tutoring.",2026-09-12,8,Parent,Mandarin,Other,Community School B,classroom_resources
SYN-0008,Broken exterior lighting has been reported repeatedly without a response.,2026-09-02,7,Parent,English,Renter,Community School B,school_safety
SYN-0009,Students are waiting too long for mental-health support.,2026-09-12,7,Parent,Spanish,Renter,Community School A,mental_health
SYN-0010,The current bus schedule causes students to arrive late.,2026-09-07,7,Parent,English,Owner,Community School D,transportation
SYN-0011,Meeting materials should be accessible before the public hearing.,2026-09-07,7,Parent,English,Renter,Community School C,accessibility
SYN-0012,Who is responsible for answering questions submitted at the hearing?,2026-09-02,8,Parent,English,Renter,Community School B,communication
SYN-0013,"After attending multiple hearings, I am increasingly concerned. Why are classroom positions being reduced when enrollment is stable?",2026-09-12,10,Teacher,English,Owner,Community School B,classroom_resources
SYN-0014,Students need a safer arrival plan and trained staff at dismissal.,2026-09-12,8,Parent,English,Owner,Community School C,school_safety
SYN-0015,The district should fund trauma-informed services throughout the year.,2026-09-02,8,Resident,English,Renter,Community School D,mental_health
SYN-0016,"After attending multiple hearings, I am increasingly concerned. Long travel times are making after-school participation difficult.",2026-09-12,6,Parent,English,Renter,Community School B,transportation
SYN-0017,"After attending multiple hearings, I am increasingly concerned. Why was the accessibility plan not included with the proposal?",2026-09-12,8,Parent,English,Renter,Community School A,accessibility
SYN-0018,"After attending multiple hearings, I am increasingly concerned. Who is responsible for answering questions submitted at the hearing?",2026-09-12,6,Parent,English,Owner,Community School B,communication
SYN-0019,Class sizes are too large and students need more classroom materials.,2026-09-12,6,Resident,English,Renter,Community School A,classroom_resources
